"county","precinct","office","district","party","candidate","votes"
"Monroe","Greece 19","President",,,"Total votes",342
"Monroe","Greece 20","President",,,"Total votes",386
"Monroe","Greece 21","President",,,"Total votes",359
"Monroe","Greece 22","President",,,"Total votes",324
"Monroe","Greece 23","President",,,"Total votes",571
"Monroe","Greece 24","President",,,"Total votes",555
"Monroe","Greece 25","President",,,"Total votes",384
"Monroe","Greece 26","President",,,"Total votes",290
"Monroe","Greece 27","President",,,"Total votes",669
"Monroe","Greece 28","President",,,"Total votes",525
"Monroe","Greece 29","President",,,"Total votes",407
"Monroe","Greece 30","President",,,"Total votes",294
"Monroe","Greece 31","President",,,"Total votes",325
"Monroe","Greece 32","President",,,"Total votes",405
"Monroe","Greece 33","President",,,"Total votes",521
"Monroe","Greece 34","President",,,"Total votes",431
"Monroe","Greece 35","President",,,"Total votes",391
"Monroe","Greece 36","President",,,"Total votes",574
"Monroe","Greece 37","President",,,"Total votes",279
"Monroe","Greece 38","President",,,"Total votes",594
"Monroe","Greece 39","President",,,"Total votes",286
"Monroe","Greece 40","President",,,"Total votes",361
"Monroe","Greece 41","President",,,"Total votes",464
"Monroe","Greece 42","President",,,"Total votes",377
"Monroe","Greece 43","President",,,"Total votes",439
"Monroe","Greece 44","President",,,"Total votes",580
"Monroe","Greece 45","President",,,"Total votes",689
"Monroe","Greece 46","President",,,"Total votes",304
"Monroe","Greece 47","President",,,"Total votes",411
"Monroe","Greece 48","President",,,"Total votes",302
"Monroe","Greece 49","President",,,"Total votes",294
"Monroe","Greece 50","President",,,"Total votes",388
"Monroe","Greece 51","President",,,"Total votes",268
"Monroe","Greece 52","President",,,"Total votes",532
"Monroe","Greece 53","President",,,"Total votes",444
"Monroe","Greece 54","President",,,"Total votes",488
"Monroe","Greece 55","President",,,"Total votes",316
"Monroe","Greece 56","President",,,"Total votes",490
"Monroe","Greece 57","President",,,"Total votes",420
"Monroe","Greece 58","President",,,"Total votes",530
"Monroe","Greece 59","President",,,"Total votes",365
"Monroe","Greece 60","President",,,"Total votes",368
"Monroe","Greece 61","President",,,"Total votes",437
"Monroe","Greece 62","President",,,"Total votes",540
"Monroe","Greece 63","President",,,"Total votes",477
"Monroe","Greece 64","President",,,"Total votes",347
"Monroe","Greece 65","President",,,"Total votes",385
"Monroe","Greece 66","President",,,"Total votes",234
"Monroe","Greece 67","President",,,"Total votes",379
"Monroe","Greece 68","President",,,"Total votes",491
"Monroe","Greece 69","President",,,"Total votes",276
"Monroe","Greece 70","President",,,"Total votes",1126
"Monroe","Greece 71","President",,,"Total votes",517
"Monroe","Greece 72","President",,,"Total votes",600
"Monroe","Greece 73","President",,,"Total votes",266
"Monroe","Greece 74","President",,,"Total votes",438
"Monroe","Greece 75","President",,,"Total votes",353
"Monroe","Greece 76","President",,,"Total votes",327
"Monroe","Greece 77","President",,,"Total votes",480
"Monroe","Greece 78","President",,,"Total votes",310
"Monroe","Greece 79","President",,,"Total votes",788
"Monroe","Greece 80","President",,,"Total votes",548
"Monroe","Greece 81","President",,,"Total votes",269
"Monroe","Greece 82","President",,,"Total votes",514
"Monroe","Greece 83","President",,,"Total votes",278
"Monroe","Greece 84","President",,,"Total votes",503
"Monroe","Greece 85","President",,,"Total votes",532
"Monroe","Greece 86","President",,,"Total votes",517
"Monroe","Greece 87","President",,,"Total votes",381
"Monroe","Greece 88","President",,,"Total votes",425
"Monroe","Greece 89","President",,,"Total votes",351
"Monroe","Greece 90","President",,,"Total votes",535
"Monroe","Greece 91","President",,,"Total votes",735
"Monroe","Greece 92","President",,,"Total votes",688
"Monroe","Greece 93","President",,,"Total votes",591
"Monroe","Greece 94","President",,,"Total votes",484
"Monroe","Greece 95","President",,,"Total votes",326
"Monroe","Greece 96","President",,,"Total votes",538
"Monroe","Greece 97","President",,,"Total votes",744
