Leg. Dist. 07,,,,,,,,,,,
"",4,218,101,75,16,10,5,4,1,0,6
"",5,444,235,132,26,23,7,4,4,0,13
"",6,648,335,200,41,26,14,15,2,0,15
"",7,543,268,187,44,13,9,10,2,1,9
"",8,421,207,156,33,7,6,2,3,0,7
"",9,434,210,164,21,11,4,5,1,0,18
"",10,406,183,162,31,12,5,2,1,0,10
"",11,248,127,81,18,9,4,3,1,0,5
"",12,373,204,91,22,14,11,7,0,1,23
"",13,552,322,147,29,18,6,6,1,0,23
"",14,548,254,193,39,14,20,10,2,1,15
"",15,501,228,198,35,11,12,7,0,0,10
"",16,676,362,224,31,17,13,5,2,3,19
"",17,289,146,84,17,10,5,8,2,0,17
Irondequoit,,,,,,,,,,,
"",18,430,209,149,22,16,14,4,1,0,15
"",19,516,325,103,15,27,9,11,3,0,23
"",20,371,178,140,22,14,3,2,0,0,12
"",21,414,218,131,27,19,5,4,1,0,9
"",22,429,208,139,37,21,10,6,1,0,7
"",23,401,217,118,20,18,9,4,1,0,14
"",24,376,201,104,30,12,9,7,5,0,8
"",25,396,187,134,35,14,8,8,1,1,8
"",26,324,203,86,7,8,5,1,0,0,14
"",27,267,113,104,20,10,5,5,5,0,5
"",28,355,148,154,21,10,8,1,1,0,12
"",29,379,194,125,18,9,15,3,2,0,13
